Areas;Unidade;2022;2021;2020;2019;2018;;;;
1. Artes;N.º;26 191;24 946;24 800;24 083;23 197;;;;
     11. Belas-artes;N.º;4 024;3 796;3852;3 854;3599;;;;
     12. Música e artes do espetáculo (1);N.º;4 104;4 079;4 339;4 193;4 237;;;;
          121. Animação cultural;N.º;120;87;87;98;76;;;;
          122. Dança;N.º;244;219;224;209;206;;;;
          123. Estudos artísticos;N.º;394;386;405;421;497;;;;
          124. Música ;N.º;2 428;2 471;2 611;2 493;2 490;;;;
          125. Teatro;N.º;829;807;827;803;773;;;;
          126. Outros;N.º;89;109;185;169;195;;;;
     13. Técnicas audiovisuais e produção dos media;N.º;11 184;10 485;9694;9 153;8845;;;;
     14. Design de moda, de interiores e industrial;N.º;6 426;6 146;6480;6 381;6019;;;;
     15. Artesanato;N.º;279;264;245;254;267;;;;
     16. Outros;N.º;174;176;190;248;230;;;;
2. História e arqueologia;N.º;5 342;5 068;4 687;4 483;4 371;;;;
3. Jornalismo e informação ;N.º;7 766;7 555;7 614;7 354;6 978;;;;
4. Arquitetura e urbanismo;N.º;7 595;7 382;7 732;8 833;7 799;;;;
Em percentagem do total de inscritos;%;10,8;10,9;11,3;11,6;11,4;;;;
;;;;;;;;;;
1.1.2. Alunos diplomados no ensino superior por área de estudo;;;;;;;;;;
Total ;N.º;9 677;10 404;9 236;9 381;9 347;;;;
1. Artes;N.º;5 719;6 088;5 351;5 396;5 372;;;;
     11. Belas-artes;N.º;781;775;716;791;703;;;;
     12. Música e artes do espetáculo (1);;940;985;946;897;923;;;;
         Cursos, dos quais:;N.º;;;;;;;;;
          121. Animação cultural;N.º;19;16;13;16;14;;;;
          122. Dança;N.º;50;50;57;45;45;;;;
          123. Estudos artísticos;N.º;77;78;89;68;85;;;;
          124. Música ;N.º;573;578;564;512;541;;;;
          125. Teatro;N.º;216;213;197;186;196;;;;
          126. Outros;N.º;5;50;26;70;42;;;;
     13. Técnicas audiovisuais e produção dos media;N.º;2 443;2 635;2 104;2 134;2 134;;;;
     14. Design de moda, de interiores e industrial;N.º;1 470;1 607;1 514;1 491;1 521;;;;
     15. Artesanato;N.º;47;48;54;54;60;;;;
     16. Outros;N.º;38;38;17;29;31;;;;
2. História e arqueologia;N.º;833;860;767;751;743;;;;
3. Jornalismo e informação ;N.º;1 755;1 937;1 754;1 623;1 631;;;;
4. Arquitetura e urbanismo;N.º;1 370;1 519;1 364;1 611;1 601;;;;
Em percentagem do total de diplomados;%;10,8;11,4;10,8;11,6;11,7;;;;
"(1) A desagregação inclui em cada uma das categorias todos os cursos relacionados com estas. Da categoria ""Outros"" constam cursos que poderiam ser incluidos em mais do que uma categoria ou cursos que não correspondem a nenhuma das categorias acima designadas.";;;;;;;;;;
Fonte: Ministério da Educação e Ministério da Ciência, Tecnologia e Ensino Superior - Direção-Geral de Estatísticas da Educação e Ciência.;;;;;;;;;;
;;;;;;;;;;
1.2. EMPREGO CULTURAL;;;;;;;;;;
1.2.1 Total;1 000;190,6;179,8;138,8;132;131,4;;;;
Por sexo;;;;;;;;;;
   Homens;1 000;99,5;95,4;69,6;74,9;75,9;;;;
   Mulheres;1 000;91,1;84,4;69,3;57,1;55,5;;;;
Escalão etário;;;;;;;;;;
16-24 anos;1 000;11,3;7,8 §;6,3;9,9;11,1;;;;
25-34 anos;1 000;43,8;46,4;38,2;36,8;35,6;;;;
35-44 anos;1 000;54,1;54,2;42,2;39,8;37,4;;;;
45-54 anos;1 000;46,8;44;31,8;29,2;31,3;;;;
55-64 anos;1 000;28,1;20,5;17,6;12,4;13,3;;;;
65-89 anos;;6,5 §;6,9 §;§;§;§;;;;
Nível de escolaridade completo;;;;;;;;;;
   Até ao 3.º ciclo;1 000;31,1;36;17,2;17,2;21,2;;;;
   Secundário ;1 000;49,3;44,3;31,3;31,4;34,3;;;;
   Superior;1 000;110,2;99,6;90,2;83,4;76;;;;  
Em percentagem do emprego total;%;3,9;3,8;3;2,8;2,8;;;;
Fonte: INE, I.P., Inquérito ao Emprego;;;;;;;;;;
;;;;;;;;;;
1.3. ÍNDICE DE PREÇOS NO CONSUMIDOR;;;;;;;;;;
1.3.1 Índice de preços no consumidor de bens e serviços culturais;;;;;;;;;;
IPC (Total);2012 = 100;113,383;105,147;103,833;103,846;103,496;;;;
Bens e serviços culturais ;2012 = 100;88,773;87,446;87,166;92,83;95,25;;;;
  Dos quais:;;;;;;;;;;
    Instrumentos musicais;2012 = 100;106,723;100,779;99,922;97,56;94,86;;;;
    Cinema, teatro e concertos;2012 = 100;113,032;112,351;108,973;113,64;108,84;;;;
    Museus, bibliotecas e jardins zoológicos;2012 = 100;123,401;121,865;121,246;118,75;116,18;;;;
    Jornais;2012 = 100;149,434;134,896;130,77;126,83;120,72;;;;
    Revistas e periódicos;2012 = 100;147,451;132,515;128,682;122,64;115,88;;;;
Os valores da série  dos Bens e Servilos Culturais foram atualizados de acordo com a nova metodologia de 2018.;;;;;;;;;;
Fonte: INE, I.P., Índice de Preços no Consumidor;;;;;;;;;;
;;;;;;;;;;
1.4. EMPRESAS DAS ATIVIDADES CULTURAIS E CRIATIVAS ;;;;;;;;;;
