Areas;2022;2021;2020;2019;2018
Artes;26191;24946;24800;24083;23197
Belas-artes;4024;3796;3852;3854;3599
Música e artes do espetáculo ();4104;4079;4339;4193;4237
Animação cultural;120;87;87;98;76
Dança;244;219;224;209;206
Estudos artísticos;394;386;405;421;497
Música;2428;2471;2611;2493;2490
Teatro;829;807;827;803;773
Outros;89;109;185;169;195
Técnicas audiovisuais e produção dos media;11184;10485;9694;9153;8845
Design de moda, de interiores e industrial;6426;6146;6480;6381;6019
Artesanato;279;264;245;254;267
Outros;174;176;190;248;230
História e arqueologia;5342;5068;4687;4483;4371
Jornalismo e informação;7766;7555;7614;7354;6978
