Areas,Ano,Valores
Artes,2022,26191
Belas-artes,2022,4024
Música e artes do espetáculo (),2022,4104
Animação cultural,2022,120
Dança,2022,244
Estudos artísticos,2022,394
Música,2022,2428
Teatro,2022,829
Outros,2022,89
Técnicas audiovisuais e produção dos media,2022,11184
"Design de moda, de interiores e industrial",2022,6426
Artesanato,2022,279
Outros,2022,174
História e arqueologia,2022,5342
Jornalismo e informação,2022,7766
Artes,2021,24946
Belas-artes,2021,3796
Música e artes do espetáculo (),2021,4079
Animação cultural,2021,87
Dança,2021,219
Estudos artísticos,2021,386
Música,2021,2471
Teatro,2021,807
Outros,2021,109
Técnicas audiovisuais e produção dos media,2021,10485
"Design de moda, de interiores e industrial",2021,6146
Artesanato,2021,264
Outros,2021,176
História e arqueologia,2021,5068
Jornalismo e informação,2021,7555
Artes,2020,24800
Belas-artes,2020,3852
Música e artes do espetáculo (),2020,4339
Animação cultural,2020,87
Dança,2020,224
Estudos artísticos,2020,405
Música,2020,2611
Teatro,2020,827
Outros,2020,185
Técnicas audiovisuais e produção dos media,2020,9694
"Design de moda, de interiores e industrial",2020,6480
Artesanato,2020,245
Outros,2020,190
História e arqueologia,2020,4687
Jornalismo e informação,2020,7614
Artes,2019,24083
Belas-artes,2019,3854
Música e artes do espetáculo (),2019,4193
Animação cultural,2019,98
Dança,2019,209
Estudos artísticos,2019,421
Música,2019,2493
Teatro,2019,803
Outros,2019,169
Técnicas audiovisuais e produção dos media,2019,9153
"Design de moda, de interiores e industrial",2019,6381
Artesanato,2019,254
Outros,2019,248
História e arqueologia,2019,4483
Jornalismo e informação,2019,7354
Artes,2018,23197
Belas-artes,2018,3599
Música e artes do espetáculo (),2018,4237
Animação cultural,2018,76
Dança,2018,206
Estudos artísticos,2018,497
Música,2018,2490
Teatro,2018,773
Outros,2018,195
Técnicas audiovisuais e produção dos media,2018,8845
"Design de moda, de interiores e industrial",2018,6019
Artesanato,2018,267
Outros,2018,230
História e arqueologia,2018,4371
Jornalismo e informação,2018,6978
